epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7078,4.77188,3.74222,2.25146,0,0,0,0,3.47106,3.65966,1.69775,2e-05,2e-05,2e-05
2,22.0889,4.16797,3.7739,2.03019,0.00833,0.03268,0.00445,0.0014,3.35409,3.62741,1.56308,5.8812e-05,5.8812e-05,5.8812e-05
3,25.9725,4.00783,3.71423,1.87725,0.01,0.03922,0.00528,0.00087,3.49506,3.59142,1.51914,9.604e-05,9.604e-05,9.604e-05
4,29.8479,4.58859,3.62408,1.98332,0.00333,0.01307,0.0017,0.00017,3.65271,3.52526,1.4584,0.000131684,0.000131684,0.000131684
5,33.5419,3.61779,3.62068,1.81783,0,0,0,0,3.93109,3.53254,1.50029,0.000165744,0.000165744,0.000165744
6,37.3209,3.58973,3.46156,1.48603,0,0,0,0,3.93109,3.53254,1.50029,0.00019822,0.00019822,0.00019822
7,40.7945,3.10064,3.45344,1.56265,0,0,0,0,3.77743,3.56389,1.51859,0.000229112,0.000229112,0.000229112
8,44.4657,3.04748,3.39605,1.54786,0.01833,0.0719,0.00983,0.00218,3.11076,3.42541,1.28706,0.00025842,0.00025842,0.00025842
9,48.3651,3.02125,3.28975,1.60068,0.01833,0.0719,0.00983,0.00218,3.11076,3.42541,1.28706,0.000286144,0.000286144,0.000286144
10,52.0329,3.38333,3.28329,1.49688,0.03,0.11765,0.01676,0.00612,2.5502,3.31948,1.12704,0.000312284,0.000312284,0.000312284
11,56.0765,3.4723,3.16227,1.43792,0.03,0.11765,0.01676,0.00612,2.5502,3.31948,1.12704,0.00033684,0.00033684,0.00033684
12,60.5964,3.16749,3.10649,1.55917,0.03167,0.12418,0.01781,0.00526,2.47038,3.24917,1.11213,0.000359812,0.000359812,0.000359812
13,64.5438,3.7268,2.96539,1.49422,0.03167,0.12418,0.01781,0.00526,2.47038,3.24917,1.11213,0.0003812,0.0003812,0.0003812
14,68.5928,3.43291,2.97428,1.40305,0.03167,0.12418,0.01781,0.00526,2.47038,3.24917,1.11213,0.000401004,0.000401004,0.000401004
15,72.6528,3.05393,2.86167,1.29428,0.02333,0.0915,0.01294,0.00438,2.40918,3.14677,1.09708,0.000419224,0.000419224,0.000419224
16,76.6771,3.08515,2.81413,1.31913,0.02333,0.0915,0.01294,0.00438,2.40918,3.14677,1.09708,0.00043586,0.00043586,0.00043586
17,80.853,3.1154,2.87119,1.33031,0.02333,0.0915,0.01294,0.00438,2.40918,3.14677,1.09708,0.000450912,0.000450912,0.000450912
18,84.6781,2.63543,2.68206,1.26524,0.03167,0.12418,0.01806,0.00518,2.31213,2.98089,1.06239,0.00046438,0.00046438,0.00046438
19,88.3163,2.82991,2.67145,1.29659,0.03167,0.12418,0.01806,0.00518,2.31213,2.98089,1.06239,0.000476264,0.000476264,0.000476264
20,92.033,2.81513,2.56202,1.19225,0.03167,0.12418,0.01806,0.00518,2.31213,2.98089,1.06239,0.000486564,0.000486564,0.000486564
21,97.081,2.88079,2.69683,1.36673,0.13333,0.52288,0.29854,0.11248,2.288,2.74687,1.04892,0.00049528,0.00049528,0.00049528
22,102.283,2.43744,2.37517,1.1437,0.13333,0.52288,0.29854,0.11248,2.288,2.74687,1.04892,0.000502412,0.000502412,0.000502412
23,106.97,2.70509,2.4518,1.13982,0.13333,0.52288,0.29854,0.11248,2.288,2.74687,1.04892,0.00050796,0.00050796,0.00050796
24,111.767,2.61116,2.5747,1.24415,0.13333,0.52288,0.29854,0.11248,2.288,2.74687,1.04892,0.000511924,0.000511924,0.000511924
25,117.246,2.71563,2.55951,1.14417,0.15167,0.59477,0.35234,0.12574,2.39918,2.5775,1.08782,0.000514304,0.000514304,0.000514304
26,122.087,2.51409,2.25397,1.13357,0.15167,0.59477,0.35234,0.12574,2.39918,2.5775,1.08782,0.0005151,0.0005151,0.0005151
27,126.424,2.52237,2.2141,1.11859,0.15167,0.59477,0.35234,0.12574,2.39918,2.5775,1.08782,0.000514312,0.000514312,0.000514312
28,131.088,2.43214,2.30462,1.08854,0.15167,0.59477,0.35234,0.12574,2.39918,2.5775,1.08782,0.00051194,0.00051194,0.00051194
29,135.159,2.35047,2.17396,1.1428,0.15167,0.59477,0.35234,0.12574,2.39918,2.5775,1.08782,0.000507984,0.000507984,0.000507984
30,139.188,2.53126,2.19395,1.14183,0.77254,0.24422,0.36385,0.14279,2.36042,2.56165,1.14069,0.000502444,0.000502444,0.000502444
31,143.458,2.5114,2.19047,1.1129,0.77254,0.24422,0.36385,0.14279,2.36042,2.56165,1.14069,0.00049532,0.00049532,0.00049532
32,147.778,2.50067,2.18535,1.14472,0.77254,0.24422,0.36385,0.14279,2.36042,2.56165,1.14069,0.000486612,0.000486612,0.000486612
33,151.988,2.48915,2.1129,1.13111,0.77254,0.24422,0.36385,0.14279,2.36042,2.56165,1.14069,0.00047632,0.00047632,0.00047632
34,156.498,2.96449,2.15212,1.10924,0.77254,0.24422,0.36385,0.14279,2.36042,2.56165,1.14069,0.000464444,0.000464444,0.000464444
35,160.931,2.85041,2.23593,1.12335,0.77254,0.24422,0.36385,0.14279,2.36042,2.56165,1.14069,0.000450984,0.000450984,0.000450984
36,165.623,2.81505,2.35383,1.13291,0.55023,0.28105,0.35154,0.13446,2.43229,2.30951,1.1785,0.00043594,0.00043594,0.00043594
37,169.7,2.32287,1.97604,1.16063,0.55023,0.28105,0.35154,0.13446,2.43229,2.30951,1.1785,0.000419312,0.000419312,0.000419312
38,173.759,2.35823,1.94793,1.08311,0.55023,0.28105,0.35154,0.13446,2.43229,2.30951,1.1785,0.0004011,0.0004011,0.0004011
39,177.875,2.29909,2.1122,1.12541,0.55023,0.28105,0.35154,0.13446,2.43229,2.30951,1.1785,0.000381304,0.000381304,0.000381304
40,182.518,2.3774,1.97214,1.05368,0.55023,0.28105,0.35154,0.13446,2.43229,2.30951,1.1785,0.000359924,0.000359924,0.000359924
41,186.227,2.1348,1.84839,1.07815,0.55023,0.28105,0.35154,0.13446,2.43229,2.30951,1.1785,0.00033696,0.00033696,0.00033696
42,190.267,3.47422,3.05558,1.33935,0.55023,0.28105,0.35154,0.13446,2.43229,2.30951,1.1785,0.000312412,0.000312412,0.000312412
43,193.879,2.20646,2.01644,1.11049,0.40829,0.38562,0.373,0.13747,2.43525,2.17867,1.16666,0.00028628,0.00028628,0.00028628
44,197.841,2.04811,1.83759,1.04663,0.40829,0.38562,0.373,0.13747,2.43525,2.17867,1.16666,0.000258564,0.000258564,0.000258564
45,201.45,2.17029,1.98723,1.14033,0.40829,0.38562,0.373,0.13747,2.43525,2.17867,1.16666,0.000229264,0.000229264,0.000229264
46,205.189,2.65609,2.14911,1.11782,0.40829,0.38562,0.373,0.13747,2.43525,2.17867,1.16666,0.00019838,0.00019838,0.00019838
47,209.343,2.24696,1.79237,1.05399,0.40829,0.38562,0.373,0.13747,2.43525,2.17867,1.16666,0.000165912,0.000165912,0.000165912
48,213.34,2.47462,1.78962,1.11293,0.40829,0.38562,0.373,0.13747,2.43525,2.17867,1.16666,0.00013186,0.00013186,0.00013186
49,217.285,2.28256,1.90191,1.08622,0.40829,0.38562,0.373,0.13747,2.43525,2.17867,1.16666,9.6224e-05,9.6224e-05,9.6224e-05
50,221.099,2.32492,1.91974,1.05125,0.40829,0.38562,0.373,0.13747,2.43525,2.17867,1.16666,5.9004e-05,5.9004e-05,5.9004e-05
